Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$5.27,-0.18,-3.303%,20169892.00,United States,,12628,Consumer Discretionary,Professional Services
ACU,Acme United Corporation. Common Stock,$62.90,0.58,0.931%,241147467.00,United States,1988,27593,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$9.60,0.05,0.524%,1030680000.00,United States,,91407,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.2766,-0.0193,-6.522%,13797580.00,United States,,363800,Health Care,Biotechnology: Pharmaceutical Preparations
AGIG,Abundia Global Impact Group Inc. Common stock,$1.11,0.04,3.738%,49006856.00,United States,,158310,Energy,Oil & Gas Production
AIB,AIB Data Centers Inc. Common Stock,$1.06,-0.08,-7.018%,80538234.00,,2026,979974,Finance,Investment Bankers/Brokers/Service
AIM,AIM ImmunoTech Inc. Common Stock,$0.236,0.01,4.425%,7184345.00,,,38187914,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIRI,Air Industries Group Common Stock,$2.61,-0.05,-1.88%,12660217.00,United States,,21620,Industrials,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.03,0.02,0.995%,5806454.00,China,,3414,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$1.4639,0.0239,1.66%,9734935.00,United States,1988,3269,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$0.1556,-0.0114,-6.826%,3240241.00,,2021,2462420,Consumer Discretionary,Catalog/Specialty Distribution
APT,Alpha Pro Tech Ltd. Common Stock,$5.26,-0.25,-4.537%,53684707.00,Canada,2000,18128,Health Care,Industrial Specialties
APUS,Apimeds Pharmaceuticals US Inc. Common Stock,$3.54,-0.34,-8.763%,5342278.00,,2025,29252,Health Care,Biotechnology: Pharmaceutical Preparations
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.28,-0.23,-4.174%,196320849.00,United States,,46473,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$7.01,-0.29,-3.973%,1190685450.00,Canada,,3462657,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.1897,0.002,1.066%,28519076.00,,2024,963679,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$0.9955,-0.0245,-2.402%,31299950.00,United States,,30069,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.16,-0.03,-2.521%,15883881.00,,2022,38275,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.66,0.05,1.916%,10372486.00,United States,1998,6349,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$7.00,0.36,5.422%,47758767.00,,2024,99420,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.1767,0.0017,0.971%,10708681.00,,2023,370163,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$1.37,0.02,1.481%,78476552.00,United States,,6741847,Energy,Oil & Gas Production
BCHT,Birchtech Corp. Common Stock,$1.18,-0.02,-1.667%,31041040.00,,2026,78793,Industrials,Industrial Machinery/Components
BCV,Bancroft Fund Ltd.,$24.01,-0.24,-0.99%,0.00,United States,1972,15910,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$20.08,0.04,0.20%,,United States,,177,,
BDL,Flanigan's Enterprises Inc. Common Stock,$45.25,-1.62,-3.456%,84103777.00,United States,1972,7591,Consumer Discretionary,Restaurants
BESS,Bimergen Energy Corporation Common Stock,$2.81,-0.09,-3.103%,19944180.00,,2026,51896,Utilities,Electric Utilities: Central
BHB,Bar Harbor Bankshares Inc. Common Stock,$38.85,-0.38,-0.969%,651362208.00,United States,1997,47169,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$8.50,0.10,1.19%,34918238.00,,2022,1426,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$72.72,0.35,0.484%,274109968.00,United States,,37635,Technology,Radio And Television Broadcasting And Communications Equipment
BQ,Boqii Holding Limited Class A Ordinary Shares,$0.8901,-0.0234,-2.562%,7013644.00,,2025,39452,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.90,0.00,0.00%,349786527.00,United States,,1157504,Finance,Major Banks
BRIA,BrilliA Inc Class A Ordinary Shares,$1.44,0.13,9.924%,44100000.00,,2024,2772,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$0.985,0.027,2.818%,14217795.00,United States,1965,71694,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$5.20,-0.28,-5.109%,6869567962.00,Canada,,44003065,Basic Materials,Precious Metals
BUDA,Buda Juice Inc. Common Stock,$8.25,-0.25,-2.941%,103674995.00,,2026,2060,Consumer Staples,Beverages (Production/Distribution)
CANF,Can-Fite Biopharma Ltd American Depositary Shares each representing two (2) Ordinary Shares,$3.29,0.11,3.459%,7048980.00,Israel,,15330,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$3.10,-0.06,-1.899%,353870155.00,United States,,703709,Health Care,Biotechnology: Pharmaceutical Preparations
CCEL,Cryo-Cell International Inc. Common Stock,$4.1646,-0.0354,-0.843%,33577712.00,United States,2022,6415,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$54.06,-0.32,-0.588%,13083882312.00,United States,1951,31666,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.66,-0.02,-0.187%,74977910.00,United States,1999,23104,Finance,Finance/Investors Services
CHOW,ChowChow Cloud International Holdings Limited Ordinary Shares,$0.502,-0.0865,-14.698%,17815980.00,,2025,613426,Technology,Computer Software: Prepackaged Software
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.42,-0.01,-0.412%,0.00,United States,,186364,Finance,Finance/Investors Services
CITR,CitroTech Inc. Common Stock,$5.75,-0.24,-4.007%,129682476.00,,,17087,Industrials,Major Chemicals
CIX,CompX International Inc. Common Stock,$33.00,1.17,3.676%,407109681.00,United States,1998,13831,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$11.35,0.00,0.00%,23303014.00,United States,2003,142,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$1.33,-0.01,-0.746%,3436965.00,,2021,48521,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$6.57,-0.09,-1.351%,0.00,United States,2003,2576536,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$25.07,-0.24,-0.948%,484730431.00,Canada,,169575,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$24.72,-0.33,-1.317%,218748120.00,United States,1996,15986,Industrials,Plastic Products
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$15.22,0.22,1.467%,91431334.00,China,2016,38500,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$11.23,0.04,0.357%,36261333.00,United States,,12925,Finance,Investment Bankers/Brokers/Service
COPR,Idaho Copper Corporation Common Stock,$3.31,-0.20,-5.698%,61133469.00,,2026,74258,Basic Materials,Metal Mining
CPHI,China Pharma Holdings Inc. Common Stock,$0.8853,-0.0002,-0.023%,38087378.00,China,,165823,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$6.34,-0.07,-1.092%,0.00,United States,2003,1816300,Finance,Finance/Investors Services
CTGO,Contango Silver & Gold Inc. Common Stock,$18.80,-0.70,-3.59%,628684991.00,United States,2021,297505,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.57,-0.0339,-5.614%,54025333.00,,2022,1344877,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$1.61,-0.01,-0.617%,28318269.00,United States,1997,70044,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$10.46,-0.015,-0.143%,10105741.00,United States,1930,510,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$5.09,-0.15,-2.863%,67441146.00,United States,2022,145685,Industrials,Military/Government/Technical
DC,Dakota Gold Corp. Common Stock,$5.81,-0.27,-4.441%,779545078.00,United States,2022,1005678,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$0.3425,-0.0345,-9.151%,15763725.00,,2023,1421333,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Credit Fund Common Stock,$1.71,0.01,0.588%,0.00,United States,1998,288477,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$69.00,0.00,0.00%,67345932.00,United States,1999,60,Consumer Discretionary,Food Distributors
DNN,Denison Mines Corp Ordinary Shares (Canada),$3.20,-0.19,-5.605%,2896691606.00,Canada,,22905965,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$0.548,0.0107,1.991%,5503300.00,United States,,43111,Consumer Discretionary,Containers/Packaging
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$0.4883,0.0119,2.498%,1580117.00,,,123492,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.40,0.00,0.00%,0.00,United States,2003,259584,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$12.19,-0.12,-0.975%,0.00,United States,1986,25891,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$19.96,-0.06,-0.30%,,United States,,353,,
EDVA,Endovia Health Sciences Inc. Common Stock,$0.2954,-0.0066,-2.185%,2196129.00,,2021,95944,Consumer Staples,Beverages (Production/Distribution)
EGG,Enigmatig Limited Class A Ordinary Shares,$2.885,0.075,2.669%,80333402.00,,2025,11069,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.49,-0.09,-0.939%,0.00,United States,2002,152104,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$13.82,0.02,0.145%,358815238.00,United States,,168480,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$19.70,-1.30,-6.19%,271529631.00,Israel,,7769,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$27.10,-0.87,-3.11%,226723017.00,United States,2011,167984,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EONR,EON Resources Inc. Class A Common Stock,$0.5611,0.0354,6.734%,28037238.00,,2022,1519362,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$3.07,-0.09,-2.848%,127642437.00,United States,2022,26685,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$3.69,-0.01,-0.27%,132654921.00,United States,,404872,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$12.18,-0.68,-5.288%,14219660632.00,Canada,,11905315,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.22,-0.11,-1.179%,0.00,United States,2003,109123,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$11.31,0.03,0.266%,0.00,,2004,41118,Finance,Finance/Investors Services
